,_c0,order_id,add_to_cart_order,product_id,product_name,aisle_id,aisle,department_id,department,user_id,features,prediction
179,179,2199,7,49615,Cran-Apple Juice Drink,98,juice nectars,7,beverages,150,"[2199.0,7.0,49615.0,98.0,7.0,150.0]",5
180,180,2199,3,47877,Coke Zero,77,soft drinks,7,beverages,150,"[2199.0,3.0,47877.0,77.0,7.0,150.0]",5
192,192,3245,18,49176,Cinnamon Roll Dough With Icing,105,doughs gelatins bake mixes,13,pantry,917,"[3245.0,18.0,49176.0,105.0,13.0,917.0]",5
202,202,3245,2,39982,Sausage  Links,42,frozen vegan vegetarian,1,frozen,917,"[3245.0,2.0,39982.0,42.0,1.0,917.0]",5
209,209,637,1,49621,Challah Bread,112,bread,3,bakery,1177,"[637.0,1.0,49621.0,112.0,3.0,1177.0]",5
221,221,4572,1,45154,Pure & Smooth Green Tea,94,tea,7,beverages,787,"[4572.0,1.0,45154.0,94.0,7.0,787.0]",5
222,222,1520,3,45154,Pure & Smooth Green Tea,94,tea,7,beverages,787,"[1520.0,3.0,45154.0,94.0,7.0,787.0]",5
223,223,4572,4,44585,Anti Viral Upright Facial Tissue,54,paper goods,17,household,787,"[4572.0,4.0,44585.0,54.0,17.0,787.0]",5
226,226,5293,5,42701,Organic Sour Cream,108,other creams cheeses,16,dairy eggs,585,"[5293.0,5.0,42701.0,108.0,16.0,585.0]",5
237,237,3927,14,40706,Organic Grape Tomatoes,123,packaged vegetables fruits,4,produce,583,"[3927.0,14.0,40706.0,123.0,4.0,583.0]",5
243,243,3927,12,39984,Organic Dill,16,fresh herbs,4,produce,583,"[3927.0,12.0,39984.0,16.0,4.0,583.0]",5
244,244,3927,27,43789,Organic Basil,16,fresh herbs,4,produce,583,"[3927.0,27.0,43789.0,16.0,4.0,583.0]",5
246,246,3927,2,48328,Nutritional Yeast Flakes,17,baking ingredients,13,pantry,583,"[3927.0,2.0,48328.0,17.0,13.0,583.0]",5
247,247,3927,15,38439,Mara Natha Organic Peanut Butter Creamy,88,spreads,13,pantry,583,"[3927.0,15.0,38439.0,88.0,13.0,583.0]",5
248,248,3927,25,48017,Organic Hoisin Sauce,5,marinades meat preparation,13,pantry,583,"[3927.0,25.0,48017.0,5.0,13.0,583.0]",5
262,262,214,9,40545,Berry Medley,116,frozen produce,1,frozen,503,"[214.0,9.0,40545.0,116.0,1.0,503.0]",5
268,268,1770,17,46041,Beef Franks,106,hot dogs bacon sausage,12,meat seafood,678,"[1770.0,17.0,46041.0,106.0,12.0,678.0]",5
272,272,1770,13,43457,Gentle Cleansing Bars,127,body lotions soap,11,personal care,678,"[1770.0,13.0,43457.0,127.0,11.0,678.0]",5
275,275,1770,3,40621,Broccoli & Cauliflower,116,frozen produce,1,frozen,678,"[1770.0,3.0,40621.0,116.0,1.0,678.0]",5
277,277,1770,5,45588,Pizzeria Style Classic Crust Pepperoni Pizza,79,frozen pizza,1,frozen,678,"[1770.0,5.0,45588.0,79.0,1.0,678.0]",5
280,280,178,1,49235,Organic Half & Half,53,cream,16,dairy eggs,971,"[178.0,1.0,49235.0,53.0,16.0,971.0]",5
284,284,988,1,45061,Natural Vanilla Ice Cream,37,ice cream ice,1,frozen,310,"[988.0,1.0,45061.0,37.0,1.0,310.0]",5
288,288,4864,13,39276,Bananas,24,fresh fruits,4,produce,1072,"[4864.0,13.0,39276.0,24.0,4.0,1072.0]",5
295,295,4864,9,46561,Organic Superfood Oat Based Espresso Maca Mulberry Cereal,130,hot cereal pancake mixes,14,breakfast,1072,"[4864.0,9.0,46561.0,130.0,14.0,1072.0]",5
296,296,4864,4,48559,Synergy Organic Kombucha Gingerberry,31,refrigerated,7,beverages,1072,"[4864.0,4.0,48559.0,31.0,7.0,1072.0]",5
298,298,4864,3,45603,Trilogy Kombucha Drink,31,refrigerated,7,beverages,1072,"[4864.0,3.0,45603.0,31.0,7.0,1072.0]",5
299,299,4864,6,44613,"Ice Cream, Organic, Land of Milk and Honey",37,ice cream ice,1,frozen,1072,"[4864.0,6.0,44613.0,37.0,1.0,1072.0]",5
307,307,3449,2,45223,Just Green Unsweetened Tea,94,tea,7,beverages,208,"[3449.0,2.0,45223.0,94.0,7.0,208.0]",5
310,310,4515,4,38847,Organic Whole Kernel Unrefined Coconut Oil,19,oils vinegars,13,pantry,652,"[4515.0,4.0,38847.0,19.0,13.0,652.0]",5
313,313,4515,2,43400,Raspberry Vinaigrette Salad Snax,50,fruit vegetable snacks,19,snacks,652,"[4515.0,2.0,43400.0,50.0,19.0,652.0]",5
